,time_period,time_identifier,version,geographic_level,methodology_level,country_code,country_name,characteristic_group,characteristic,characteristic_gender,table,school_type,school_admission_type,school_religious_denomination,subject,qualification_type,subject_entry,Total_achieving_A*-G/9-1,Total_achieving_A*-C/9-4,Total_achieving_A-B,Total_achieving_A-E,Total_achieving_level_1_pass,Total_achieving_level_2_pass
55,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any subject,GCSE,277953,276723,252077,0,0,0,0
56,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any subject,GCSE,287283,284751,239094,0,0,0,0
57,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any subject,GCSE,565236,561474,491171,0,0,0,0
58,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any subject,GCSE and equivalent,278031,276799,252179,0,0,0,0
59,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any subject,GCSE and equivalent,287399,284860,239247,0,0,0,0
60,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any subject,GCSE and equivalent,565430,561659,491426,0,0,0,0
61,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any subject,GCSE Equivalent,3230,2990,2242,0,0,0,0
62,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any subject,GCSE Equivalent,4446,3990,2834,0,0,0,0
63,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any subject,GCSE Equivalent,7676,6980,5076,0,0,0,0
64,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Applied Business,GCSE,3525,3418,2371,0,0,0,0
65,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Applied Business,GCSE,5083,4767,2793,0,0,0,0
66,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Applied Business,GCSE,8608,8185,5164,0,0,0,0
67,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Applied Business,GCSE and equivalent,3530,3423,2372,0,0,0,0
68,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Applied Business,GCSE and equivalent,5088,4772,2795,0,0,0,0
69,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Applied Business,GCSE and equivalent,8618,8195,5167,0,0,0,0
70,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Applied Business,GCSE Equivalent,5,5,1,0,0,0,0
71,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Applied Business,GCSE Equivalent,5,5,2,0,0,0,0
72,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Applied Business,GCSE Equivalent,10,10,3,0,0,0,0
73,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Applied Engineering,GCSE,452,445,281,0,0,0,0
74,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Applied Engineering,GCSE,4025,3888,1694,0,0,0,0
75,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Applied Engineering,GCSE,4477,4333,1975,0,0,0,0
76,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Applied Engineering,GCSE and equivalent,452,445,281,0,0,0,0
77,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Applied Engineering,GCSE and equivalent,4025,3888,1694,0,0,0,0
78,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Applied Engineering,GCSE and equivalent,4477,4333,1975,0,0,0,0
79,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Art and Design,GCSE,103125,102676,84971,0,0,0,0
80,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Art and Design,GCSE,51690,51142,32110,0,0,0,0
81,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Art and Design,GCSE,154815,153818,117081,0,0,0,0
82,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Art and Design,GCSE and equivalent,103125,102676,84971,0,0,0,0
83,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Art and Design,GCSE and equivalent,51690,51142,32110,0,0,0,0
84,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Art and Design,GCSE and equivalent,154815,153818,117081,0,0,0,0
85,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Biology,GCSE,79329,78753,72387,0,0,0,0
86,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Biology,GCSE,80183,79353,71707,0,0,0,0
87,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Biology,GCSE,159512,158106,144094,0,0,0,0
88,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Biology,GCSE and equivalent,79329,78753,72387,0,0,0,0
89,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Biology,GCSE and equivalent,80183,79353,71707,0,0,0,0
90,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Biology,GCSE and equivalent,159512,158106,144094,0,0,0,0
91,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Business Studies,GCSE,29725,29389,20308,0,0,0,0
92,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Business Studies,GCSE,42837,42056,26651,0,0,0,0
93,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Business Studies,GCSE,72562,71445,46959,0,0,0,0
94,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Business Studies,GCSE and equivalent,30101,29765,20609,0,0,0,0
95,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Business Studies,GCSE and equivalent,43620,42824,27282,0,0,0,0
96,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Business Studies,GCSE and equivalent,73721,72589,47891,0,0,0,0
97,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Business Studies,GCSE Equivalent,376,376,301,0,0,0,0
98,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Business Studies,GCSE Equivalent,783,768,631,0,0,0,0
99,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Business Studies,GCSE Equivalent,1159,1144,932,0,0,0,0
100,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Chemistry,GCSE,77775,77335,70520,0,0,0,0
101,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Chemistry,GCSE,78446,77741,70148,0,0,0,0
102,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Chemistry,GCSE,156221,155076,140668,0,0,0,0
103,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Chemistry,GCSE and equivalent,77775,77335,70520,0,0,0,0
